model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day
Peugeot,124516,125,petrol,black,convertible,True,False,False,False,False,True,True,79
Peugeot,187294,105,petrol,red,convertible,True,False,False,False,False,True,True,49
Peugeot,24452,270,petrol,grey,convertible,True,False,False,False,False,False,True,82
Peugeot,17267,110,diesel,white,convertible,True,True,False,False,True,False,True,156
Citroën,194192,120,diesel,beige,convertible,True,True,False,False,True,False,True,109
Citroën,36696,120,diesel,black,convertible,True,True,False,False,True,False,True,185
Peugeot,270907,236,petrol,black,convertible,True,False,False,False,False,True,True,110
PGO,142483,180,diesel,blue,convertible,True,True,False,False,True,False,True,126
Peugeot,223269,120,diesel,blue,convertible,True,True,False,False,False,False,True,89
Peugeot,158805,130,diesel,black,convertible,True,False,False,False,True,True,True,95
Peugeot,13131,110,diesel,grey,convertible,False,True,False,False,True,False,True,156
Peugeot,187104,105,petrol,red,convertible,True,False,False,False,False,True,True,51
Citroën,20996,135,petrol,black,coupe,True,False,False,False,True,False,True,146
Citroën,50222,135,diesel,grey,coupe,False,False,False,False,False,False,False,162
Citroën,147180,100,diesel,black,coupe,True,False,True,False,False,False,True,92
Peugeot,51618,105,diesel,grey,coupe,False,True,False,False,True,False,True,131
Citroën,104433,120,diesel,silver,coupe,True,False,False,False,True,False,True,87
Citroën,77334,135,diesel,grey,coupe,False,False,False,False,True,False,True,154
Citroën,55329,135,diesel,black,coupe,False,False,False,False,False,False,False,163
Citroën,14041,140,diesel,blue,coupe,True,True,False,False,True,True,True,166
Renault,78638,160,diesel,black,coupe,False,True,False,False,False,True,True,135
Citroën,329173,110,diesel,silver,coupe,True,False,False,False,False,False,True,48
Renault,34082,240,petrol,grey,coupe,False,True,True,False,True,True,True,174
Renault,265751,85,petrol,silver,coupe,False,False,False,False,False,False,False,32
Citroën,181644,135,diesel,blue,coupe,True,True,False,False,True,False,True,138
Renault,26062,225,petrol,blue,coupe,True,True,False,True,True,True,True,175
Citroën,56250,160,diesel,blue,coupe,False,False,False,False,False,False,False,169
Renault,45536,250,petrol,white,coupe,True,True,True,False,True,True,True,197
Renault,69695,230,diesel,blue,coupe,True,True,False,False,True,True,True,191
Citroën,61300,135,diesel,black,coupe,True,True,False,False,True,False,True,166
Renault,197407,230,diesel,blue,coupe,True,True,True,False,True,True,True,179
Citroën,93066,135,diesel,black,coupe,False,False,False,True,True,False,True,109
Peugeot,29925,309,petrol,silver,coupe,True,True,False,False,True,True,True,217
Renault,67403,230,diesel,black,coupe,True,True,True,True,True,True,True,235
Citroën,199614,120,diesel,black,coupe,True,True,True,False,True,True,True,127
Peugeot,27786,140,diesel,white,coupe,False,True,False,False,False,True,True,162
Citroën,80165,135,diesel,white,coupe,False,False,False,False,False,False,False,140
Citroën,69410,317,petrol,white,coupe,True,True,False,False,False,True,True,232
Peugeot,170550,309,petrol,grey,coupe,True,True,False,False,True,False,True,167
Citroën,42077,135,diesel,black,coupe,False,False,False,False,True,True,True,150
Renault,92527,230,diesel,blue,coupe,True,True,True,False,False,False,True,179
Peugeot,23949,100,diesel,blue,coupe,False,True,False,False,True,False,True,162
Citroën,175311,130,diesel,black,coupe,True,False,False,True,True,False,True,93
Renault,97806,230,diesel,black,coupe,True,True,False,True,True,True,True,177
Renault,141346,230,diesel,blue,coupe,True,True,True,False,True,True,True,200
Peugeot,220101,130,diesel,black,coupe,False,False,False,False,True,False,True,94
Citroën,64386,135,diesel,grey,coupe,False,False,False,False,True,True,True,154
Citroën,54993,135,diesel,black,coupe,False,False,False,False,False,False,False,136
Citroën,152383,135,diesel,black,coupe,True,False,False,False,True,True,True,130
Renault,69736,240,petrol,grey,coupe,True,True,True,False,True,True,True,173
Citroën,202812,130,diesel,silver,coupe,False,False,False,False,True,False,True,91
Renault,69768,230,diesel,black,coupe,True,True,True,False,True,False,True,192
Peugeot,220296,130,diesel,black,coupe,False,False,False,False,True,False,True,87
Citroën,125965,135,diesel,blue,coupe,False,True,False,False,True,True,True,153
Citroën,193330,120,diesel,grey,coupe,True,True,False,False,True,True,True,152
Renault,12402,170,hybrid_petrol,grey,coupe,True,True,False,False,False,False,False,309
Citroën,147130,135,diesel,black,coupe,False,True,False,False,True,False,True,152
Citroën,96260,135,diesel,white,coupe,False,True,False,False,True,True,True,159
Peugeot,99283,309,petrol,silver,coupe,False,False,False,False,True,False,True,169
Citroën,48431,135,diesel,grey,coupe,True,True,False,True,True,True,True,164
PGO,170862,170,diesel,white,coupe,True,False,False,False,True,True,True,96
Citroën,100154,135,diesel,grey,coupe,True,True,False,False,True,False,True,150
Citroën,187967,120,petrol,grey,coupe,True,True,False,False,False,True,True,56
Citroën,39228,135,diesel,grey,coupe,False,False,False,False,True,False,True,121
Renault,90763,230,diesel,white,coupe,False,True,True,False,False,True,False,162
Citroën,342768,135,diesel,black,coupe,False,True,False,False,True,False,True,91
Citroën,188335,130,diesel,grey,coupe,False,False,False,False,True,False,True,93
Renault,37619,240,petrol,black,coupe,True,False,False,False,True,True,True,166
Citroën,107375,135,diesel,white,coupe,True,True,False,False,True,True,True,154
Peugeot,87304,225,petrol,white,coupe,True,True,True,False,True,True,True,153
Citroën,33947,135,petrol,grey,coupe,False,True,False,False,True,True,True,167
Citroën,61429,135,diesel,black,coupe,True,True,False,False,True,False,True,164
Renault,149943,190,petrol,black,coupe,True,True,True,False,True,True,True,102
Renault,36139,230,diesel,beige,coupe,True,True,False,False,True,False,True,179
Citroën,41353,135,diesel,black,coupe,False,False,False,False,True,True,True,148
Renault,121100,230,diesel,black,coupe,True,True,True,True,True,True,True,169
Citroën,80540,120,petrol,black,coupe,False,True,False,True,True,False,True,148
Renault,126685,230,diesel,black,coupe,True,True,True,True,True,True,True,191
Citroën,12634,142,diesel,grey,coupe,True,True,False,False,True,False,True,133
Citroën,47902,140,diesel,black,coupe,True,True,False,False,True,True,True,175
Renault,63421,230,diesel,blue,coupe,True,True,True,True,True,True,True,214
Peugeot,70880,190,diesel,blue,coupe,False,True,False,False,False,True,True,169
Citroën,174740,135,diesel,white,coupe,True,True,True,False,True,True,True,150
Renault,162327,190,diesel,black,coupe,True,True,False,True,True,True,True,153
Citroën,45299,120,diesel,brown,coupe,True,True,False,False,True,False,True,166
Citroën,268780,225,petrol,white,coupe,True,True,True,False,True,True,True,114
Citroën,61620,120,diesel,blue,coupe,False,True,False,True,True,True,True,164
Citroën,116134,135,diesel,grey,coupe,False,True,False,False,True,True,True,148
Citroën,46706,120,diesel,blue,coupe,True,True,False,False,True,True,True,155
Citroën,260217,120,diesel,grey,coupe,True,True,False,False,True,True,True,92
Citroën,143853,120,diesel,black,coupe,True,True,True,False,True,True,True,130
Citroën,65008,140,diesel,white,coupe,True,False,True,False,True,True,True,156
Citroën,189137,130,diesel,grey,coupe,False,False,False,False,True,False,True,93
Citroën,140694,120,diesel,black,coupe,True,True,False,False,True,True,True,135
Citroën,202363,120,diesel,black,coupe,True,False,False,False,True,False,True,87
Citroën,221500,155,petrol,grey,coupe,True,True,True,False,True,True,True,96
Citroën,47876,120,diesel,blue,coupe,True,True,False,False,True,True,True,158
Citroën,224613,130,diesel,white,coupe,False,False,False,False,True,False,True,94
Citroën,274992,210,diesel,black,coupe,True,True,False,False,True,True,True,138
Citroën,91931,135,diesel,black,coupe,False,False,False,True,True,False,True,112
Peugeot,23886,110,diesel,red,coupe,False,True,False,False,True,False,True,129
Citroën,140464,105,diesel,blue,coupe,False,False,False,False,False,True,True,94
Peugeot,50421,100,diesel,grey,coupe,True,True,False,False,False,True,True,131
Renault,136545,230,diesel,black,coupe,True,True,True,False,True,True,True,171
Peugeot,169970,309,petrol,grey,coupe,True,True,False,False,True,False,True,189
PGO,122991,170,diesel,green,coupe,True,True,True,False,True,False,True,106
Citroën,102178,120,petrol,grey,coupe,True,False,False,False,True,False,True,103
Renault,173302,210,diesel,grey,coupe,True,True,True,False,True,False,True,139
Citroën,202811,120,diesel,black,coupe,True,False,False,False,True,False,True,88
Citroën,169722,145,diesel,grey,coupe,True,False,False,False,True,False,True,91
Citroën,129338,135,diesel,blue,coupe,True,True,False,False,True,False,True,113
Citroën,186950,120,petrol,grey,coupe,True,True,False,False,False,True,True,52
Peugeot,34463,105,diesel,blue,coupe,False,False,True,False,False,True,True,154
Citroën,110818,135,diesel,black,coupe,True,True,True,False,False,False,True,122
Citroën,200510,135,diesel,grey,coupe,True,True,False,False,True,False,True,104
Renault,161794,190,diesel,black,coupe,True,True,False,True,True,True,True,152
Citroën,227832,120,diesel,black,estate,True,False,False,False,False,False,True,73
Peugeot,108245,100,diesel,brown,estate,True,True,True,False,False,False,True,108
Renault,221018,135,diesel,black,estate,True,True,False,True,True,False,True,128
Peugeot,101658,100,diesel,grey,estate,False,True,False,False,False,False,True,107
Citroën,163181,120,diesel,grey,estate,False,False,False,False,False,False,True,91
Citroën,143180,135,diesel,black,estate,False,True,False,False,True,False,True,114
Renault,146310,85,diesel,black,estate,False,False,False,False,False,False,True,87
PGO,107560,190,diesel,grey,estate,False,False,False,False,False,False,False,120
Peugeot,78425,100,diesel,beige,estate,False,True,False,False,False,False,True,113
Renault,95078,140,diesel,black,estate,False,False,False,False,False,False,False,146
Renault,246424,120,diesel,black,estate,True,True,False,False,False,False,True,77
Peugeot,203950,105,diesel,white,estate,False,True,False,False,False,False,True,89
Renault,158002,85,diesel,white,estate,False,False,False,False,False,False,True,94
Peugeot,193476,105,diesel,silver,estate,False,False,False,False,False,False,False,81
Citroën,209208,135,diesel,black,estate,False,False,False,False,False,False,False,28
Renault,135119,85,diesel,white,estate,False,True,False,False,False,False,True,104
Renault,199603,120,diesel,blue,estate,True,True,True,False,True,False,True,114
Peugeot,41142,105,diesel,blue,estate,False,False,False,False,False,False,False,135
Renault,46738,85,diesel,black,estate,False,False,False,False,False,False,False,120
Citroën,146639,135,diesel,silver,estate,False,True,False,False,False,False,True,28
Renault,159983,85,diesel,grey,estate,False,False,False,False,False,False,False,28
Renault,156627,85,diesel,blue,estate,False,True,False,False,False,False,True,95
Peugeot,146338,105,diesel,black,estate,False,True,False,False,False,False,True,115
Renault,270884,100,diesel,blue,estate,True,False,False,False,False,False,True,33
Audi,175096,160,diesel,blue,estate,False,False,False,False,False,False,False,81
Citroën,155503,135,diesel,blue,estate,False,True,False,False,False,False,True,110
Audi,134094,160,diesel,white,estate,False,False,False,False,False,False,False,126
Peugeot,156885,100,diesel,grey,estate,False,False,False,False,False,False,True,101
Citroën,302525,100,diesel,grey,estate,False,False,False,False,False,False,True,32
Citroën,181052,120,diesel,black,estate,False,True,False,False,False,False,True,107
Audi,106054,160,diesel,black,estate,False,True,False,False,False,False,True,137
Renault,146528,140,diesel,white,estate,True,True,True,False,False,False,True,136
Citroën,183403,135,diesel,grey,estate,False,True,False,False,False,False,True,107
Renault,130852,85,diesel,white,estate,False,False,False,False,False,False,False,88
Citroën,186697,135,diesel,white,estate,False,False,False,False,False,False,False,49
Citroën,132746,135,diesel,white,estate,False,False,False,False,False,False,False,109
Citroën,101013,120,diesel,blue,estate,False,True,False,False,False,False,True,28
Renault,130019,85,diesel,white,estate,False,False,False,False,False,False,False,28
Citroën,90747,160,diesel,grey,estate,False,False,False,False,False,False,False,106
Renault,145179,85,diesel,brown,estate,False,True,False,False,False,False,True,97
Citroën,87171,135,diesel,silver,estate,False,False,False,False,False,False,False,137
Citroën,110212,135,diesel,black,estate,False,False,False,False,False,False,False,95
Peugeot,11917,110,diesel,white,estate,False,False,False,False,False,False,False,153
Peugeot,12508,110,diesel,white,estate,False,False,False,False,False,False,False,154
PGO,149525,190,diesel,silver,estate,False,False,False,False,False,False,False,124
Peugeot,122357,105,diesel,grey,estate,False,True,False,False,False,False,True,117
Citroën,165516,135,diesel,blue,estate,False,False,False,False,False,False,True,28
Peugeot,158853,100,diesel,black,estate,True,False,False,False,False,False,True,104
Peugeot,167280,105,diesel,white,estate,False,True,False,False,False,False,True,115
Citroën,69978,135,diesel,grey,estate,False,False,False,False,False,False,False,134
Peugeot,105105,105,diesel,white,estate,False,False,False,False,False,False,False,77
Peugeot,170164,105,diesel,grey,estate,False,True,False,False,False,False,True,28
Peugeot,153585,105,diesel,white,estate,False,False,False,False,False,False,False,117
Audi,156127,190,diesel,black,estate,True,True,False,False,True,True,True,133
Citroën,117722,122,diesel,black,estate,False,False,False,False,False,False,True,96
Citroën,236095,135,diesel,blue,estate,False,False,False,False,False,False,True,78
Renault,142031,85,diesel,black,estate,False,True,False,False,False,False,True,114
Peugeot,150807,105,diesel,black,estate,False,True,False,False,False,False,True,107
Peugeot,185085,105,diesel,white,estate,False,True,False,False,False,False,True,96
Citroën,163879,120,diesel,grey,estate,False,False,False,False,False,False,True,93
Audi,137744,200,petrol,black,estate,False,True,True,False,True,False,False,142
Renault,94829,85,diesel,grey,estate,False,False,False,False,False,False,False,112
PGO,127461,190,diesel,silver,estate,False,True,False,False,False,False,True,28
Citroën,58673,135,diesel,grey,estate,False,False,False,False,False,False,False,135
Citroën,183683,135,diesel,black,estate,False,False,False,False,False,False,True,35
Citroën,153236,135,diesel,blue,estate,False,True,False,True,False,False,True,109
Peugeot,65933,105,diesel,white,estate,False,False,False,False,False,False,False,123
Citroën,77419,120,diesel,grey,estate,False,False,False,False,False,False,False,110
Citroën,170322,120,diesel,black,estate,False,False,False,False,False,False,False,113
Renault,83133,85,diesel,white,estate,False,True,False,False,False,False,True,120
Citroën,140324,135,diesel,silver,estate,False,False,False,False,False,False,False,88
Peugeot,147097,105,diesel,black,estate,False,False,False,False,False,False,False,28
Peugeot,132871,85,diesel,grey,estate,True,False,False,False,False,False,True,66
Peugeot,109741,100,diesel,grey,estate,True,True,False,False,False,False,True,110
Citroën,168016,135,diesel,red,estate,False,True,False,False,True,True,True,110
Renault,238036,120,diesel,black,estate,True,True,False,False,False,False,True,114
Renault,147228,85,diesel,silver,estate,True,True,False,False,False,False,True,103
Audi,159659,190,diesel,black,estate,True,True,False,True,True,True,True,142
Peugeot,123340,105,diesel,brown,estate,False,True,False,False,False,True,True,119
Peugeot,168068,100,diesel,grey,estate,False,True,False,False,False,False,True,89
Citroën,163601,120,diesel,beige,estate,False,True,False,False,False,False,True,108
Citroën,149108,135,diesel,white,estate,False,True,True,False,False,False,True,106
Renault,173446,135,diesel,black,estate,True,True,False,False,True,False,True,125
Citroën,197516,135,diesel,black,estate,True,True,False,False,False,False,True,100
Peugeot,170832,100,diesel,blue,estate,True,True,False,False,False,False,True,101
Citroën,149085,135,diesel,black,estate,True,True,False,False,True,False,True,122
Audi,255957,230,diesel,grey,estate,True,True,True,True,True,True,True,133
Renault,175024,135,diesel,blue,estate,True,True,True,False,True,True,True,117
Peugeot,132731,100,diesel,grey,estate,True,True,False,False,False,False,True,112
Audi,214691,120,diesel,black,estate,True,True,False,False,True,False,True,71
Citroën,177568,120,diesel,brown,estate,False,True,False,False,False,False,True,101
Citroën,106878,135,diesel,white,estate,False,True,False,False,True,True,True,124
Peugeot,144727,105,diesel,white,estate,False,True,True,False,True,True,True,120
Audi,46731,140,diesel,blue,estate,False,False,False,False,False,False,False,109
Citroën,150969,135,diesel,blue,estate,False,False,False,False,False,False,True,28
Peugeot,164900,100,diesel,silver,estate,False,True,False,False,False,False,True,85
Peugeot,150002,100,diesel,red,estate,False,True,False,False,False,True,True,103
Renault,117872,85,diesel,black,estate,True,True,False,False,False,False,True,102
Citroën,66314,135,diesel,white,estate,False,False,False,False,False,False,False,127
Peugeot,216114,105,diesel,blue,estate,False,True,False,False,False,False,True,99
Peugeot,159505,100,diesel,grey,estate,False,False,False,False,False,False,True,100
Citroën,221904,100,diesel,blue,estate,True,False,False,False,True,False,True,35
Renault,147243,120,diesel,blue,estate,True,True,True,False,True,False,True,128
Audi,140638,160,diesel,black,estate,True,True,False,False,True,True,True,133
Citroën,123796,135,diesel,black,estate,True,True,False,False,True,True,True,125
Renault,201102,85,diesel,black,estate,True,False,False,False,False,False,True,94
Peugeot,238592,90,diesel,grey,estate,False,True,False,False,False,False,True,62
Peugeot,182798,105,diesel,white,estate,True,False,False,False,False,False,True,102
Peugeot,116868,105,diesel,white,estate,False,True,False,False,True,False,True,117
Peugeot,64486,100,diesel,blue,estate,True,True,False,False,False,False,True,111
Peugeot,167013,100,diesel,black,estate,True,True,False,False,False,False,True,111
Peugeot,319724,90,diesel,grey,estate,True,False,False,False,False,False,True,55
Citroën,103683,120,diesel,black,estate,True,True,True,False,False,False,True,102
Citroën,73416,120,diesel,blue,estate,False,True,False,False,False,False,True,130
Renault,142724,120,diesel,black,estate,True,True,False,False,True,False,True,122
Citroën,127017,120,diesel,grey,estate,False,True,False,False,False,False,True,114
Citroën,151391,120,diesel,grey,estate,False,True,False,False,False,True,True,123
Renault,88985,135,diesel,grey,estate,True,True,False,False,True,False,True,135
Citroën,186684,120,diesel,brown,estate,True,True,False,False,False,False,True,107
Renault,156756,120,diesel,black,estate,True,True,False,False,False,False,True,117
Citroën,236259,135,diesel,blue,estate,False,False,False,False,False,False,True,80
Citroën,233375,135,diesel,black,estate,False,True,False,False,False,False,True,98
Peugeot,195032,100,diesel,grey,estate,False,False,False,False,False,False,True,70
Peugeot,228885,100,diesel,grey,estate,True,True,True,False,False,False,True,77
Renault,214613,85,diesel,white,estate,False,True,False,False,False,False,True,91
Peugeot,154190,105,diesel,black,estate,False,True,False,False,True,False,True,106
Citroën,243093,110,diesel,grey,estate,True,False,False,False,False,False,True,37
Peugeot,79526,105,diesel,white,estate,False,False,False,False,False,False,False,122
Citroën,169449,135,diesel,brown,estate,True,False,False,False,False,False,True,103
Renault,157968,120,diesel,grey,estate,True,True,True,False,True,False,True,119
Citroën,161034,120,diesel,black,estate,True,True,False,False,True,True,True,122
Peugeot,197704,100,diesel,brown,estate,False,True,False,False,False,False,True,97
Renault,83268,85,diesel,brown,estate,False,True,False,False,True,False,True,111
Citroën,139999,120,diesel,blue,estate,False,True,False,False,True,True,True,122
Peugeot,139649,105,diesel,white,estate,False,True,False,False,False,False,True,99
Citroën,173160,122,diesel,grey,estate,True,True,False,False,True,False,True,114
Peugeot,80340,100,diesel,grey,estate,False,True,False,False,False,False,True,115
Audi,234787,230,diesel,black,estate,True,True,False,True,True,True,True,139
Peugeot,181297,105,diesel,brown,estate,False,True,False,False,True,True,True,115
Audi,223829,190,diesel,black,estate,True,True,True,True,True,False,True,144
Renault,163675,135,diesel,brown,estate,True,True,True,False,True,False,True,122
Citroën,110136,120,diesel,white,estate,True,True,False,False,True,True,True,133
Audi,230212,150,diesel,blue,estate,True,True,False,False,True,True,True,119
Peugeot,125974,105,diesel,grey,estate,False,True,False,False,False,False,True,117
Renault,93866,140,diesel,black,estate,False,False,False,False,False,False,False,142
Audi,151555,230,diesel,blue,estate,True,True,True,False,True,False,True,149
Renault,132522,140,diesel,black,estate,True,True,False,False,False,True,True,144
Citroën,150534,135,diesel,brown,estate,False,False,False,False,False,True,True,106
Renault,194410,85,diesel,black,estate,False,True,False,False,True,False,True,92
Peugeot,161581,105,diesel,blue,estate,True,True,True,False,True,False,True,114
Citroën,194748,120,diesel,black,estate,False,True,False,False,True,False,True,110
Renault,165274,135,diesel,silver,estate,False,True,False,False,True,False,True,128
Renault,188155,135,diesel,black,estate,False,True,False,False,True,False,True,122
Renault,130335,135,diesel,grey,estate,True,True,False,False,False,False,True,121
Audi,148738,230,diesel,grey,estate,True,True,True,False,False,False,True,170
Renault,127511,140,diesel,black,estate,True,True,False,False,True,False,True,141
Audi,187176,190,diesel,black,estate,False,True,False,True,True,False,True,141
Citroën,111523,120,diesel,black,estate,False,False,False,False,False,False,False,125
Audi,218341,120,diesel,grey,estate,True,True,True,False,False,False,True,73
Audi,172496,190,diesel,black,estate,True,True,True,False,True,False,True,141
Citroën,149390,135,diesel,white,estate,False,True,True,False,False,False,True,107
Citroën,171848,120,diesel,black,estate,False,True,False,False,True,False,False,113
Citroën,180574,135,diesel,white,estate,False,True,False,True,True,False,True,121
Peugeot,243386,105,diesel,white,estate,False,True,False,False,False,False,True,88
Audi,123622,190,diesel,black,estate,True,True,True,True,True,False,True,160
Citroën,94654,135,diesel,black,estate,False,True,False,True,True,True,True,133
Audi,164621,190,diesel,white,estate,True,True,True,True,True,True,True,160
Audi,86420,160,diesel,brown,estate,False,True,False,True,True,True,True,163
Citroën,200121,135,diesel,black,estate,False,True,False,False,False,False,True,107
Audi,92856,190,diesel,blue,estate,True,True,False,True,True,False,True,160
Citroën,75373,135,diesel,blue,estate,False,False,False,False,False,False,False,141
Citroën,152137,135,diesel,black,estate,False,True,False,False,False,False,True,108
Peugeot,165851,105,diesel,grey,estate,True,True,False,False,False,False,True,104
Citroën,171266,120,diesel,white,estate,True,True,False,False,True,True,True,127
Renault,161666,135,diesel,black,estate,False,True,True,False,True,False,True,123
Citroën,229128,135,diesel,white,estate,True,True,False,False,True,True,True,114
Audi,130500,160,diesel,silver,estate,False,True,False,False,False,False,True,28
Renault,168180,135,diesel,black,estate,True,True,False,False,True,True,True,126
Citroën,106596,135,diesel,black,estate,False,True,False,False,False,False,True,112
Peugeot,164889,105,diesel,grey,estate,False,True,False,False,False,False,True,28
Citroën,165599,135,diesel,black,estate,True,True,False,False,True,False,True,128
Audi,159773,190,diesel,grey,estate,False,True,False,True,True,False,True,117
Renault,212710,110,diesel,black,estate,True,True,False,False,False,False,True,71
Citroën,151246,135,diesel,silver,estate,False,True,False,False,True,True,True,115
Renault,84734,85,diesel,grey,estate,False,True,False,False,False,False,True,112
Audi,121436,230,diesel,black,estate,False,True,True,True,True,True,True,177
Citroën,47771,135,diesel,silver,estate,False,True,False,False,False,False,True,114
Renault,164998,85,diesel,black,estate,True,True,False,False,False,False,True,105
Peugeot,129901,105,diesel,blue,estate,False,True,False,False,False,False,True,28
Renault,109391,140,diesel,grey,estate,True,True,False,True,True,True,True,160
Peugeot,185141,105,diesel,grey,estate,False,True,False,False,False,False,True,106
Audi,140904,190,diesel,white,estate,False,True,True,False,True,True,True,144
Peugeot,109195,105,diesel,white,estate,False,True,False,False,True,False,True,114
Peugeot,129181,100,diesel,grey,estate,True,True,False,False,False,False,True,103
Citroën,99600,120,diesel,blue,estate,False,True,False,False,False,False,True,120
Citroën,75254,120,diesel,blue,estate,True,True,False,False,True,False,True,122
Peugeot,124822,100,diesel,black,estate,False,True,False,False,False,False,True,102
Peugeot,198759,105,diesel,blue,estate,False,True,False,False,False,False,True,97
Citroën,125928,135,diesel,silver,estate,False,True,True,False,False,False,True,117
Peugeot,95636,105,diesel,white,estate,True,True,False,False,True,False,True,120
Citroën,121742,135,diesel,blue,estate,False,True,True,False,True,True,True,124
Peugeot,217330,90,diesel,black,estate,True,True,False,False,False,False,True,71
Citroën,109620,120,diesel,grey,estate,False,True,False,False,True,True,True,124
Peugeot,190639,105,diesel,brown,estate,False,True,False,False,True,True,True,96
Citroën,136093,135,diesel,white,estate,True,True,True,False,False,False,True,116
Renault,146879,85,diesel,brown,estate,False,True,False,False,False,False,True,99
Citroën,191556,122,diesel,blue,estate,False,True,False,False,True,True,True,112
Renault,147891,135,diesel,black,estate,False,True,False,True,True,False,True,131
Peugeot,198084,105,diesel,blue,estate,False,True,False,False,False,False,True,98
Renault,80403,140,diesel,black,estate,False,False,False,False,False,False,False,141
Citroën,106442,135,diesel,black,estate,False,True,False,True,False,False,True,132
Renault,123353,135,diesel,silver,estate,False,True,False,False,True,False,True,132
Renault,161432,135,diesel,black,estate,False,True,True,False,True,False,True,122
Renault,85319,140,diesel,grey,estate,False,True,False,False,True,False,True,139
Citroën,162550,122,diesel,black,estate,True,True,False,False,True,False,True,110
Citroën,188982,120,diesel,black,estate,False,True,True,False,False,False,True,62
Peugeot,94987,105,diesel,white,estate,False,False,False,False,False,False,False,93
PGO,231261,180,diesel,black,estate,False,True,False,False,True,True,True,97
Renault,79964,85,diesel,white,estate,False,False,False,False,False,False,True,114
Peugeot,110913,100,diesel,grey,estate,True,True,False,False,False,False,True,124
Citroën,181751,122,diesel,black,estate,True,True,False,False,True,False,True,112
Citroën,102377,135,diesel,blue,estate,False,True,False,False,False,False,True,121
Citroën,176702,135,diesel,white,estate,False,True,False,False,True,False,True,120
Peugeot,216144,100,diesel,grey,estate,False,True,False,False,True,False,True,109
Peugeot,169410,105,diesel,white,estate,False,True,True,False,True,False,True,114
Audi,201782,141,petrol,blue,estate,True,True,True,False,True,True,True,79
Peugeot,116892,105,diesel,blue,estate,False,False,False,False,False,False,False,100
Citroën,124389,135,diesel,black,estate,True,True,False,False,True,False,True,130
Renault,161739,85,diesel,grey,estate,False,True,False,False,False,False,True,105
Renault,176557,85,diesel,black,estate,False,False,False,False,False,False,True,28
Audi,193500,100,diesel,black,estate,True,True,False,False,True,False,True,114
Peugeot,144913,105,diesel,blue,estate,True,True,False,False,False,False,True,101
Citroën,135491,120,diesel,black,estate,True,True,False,False,False,True,True,112
Peugeot,109600,100,diesel,white,estate,False,True,False,False,True,True,True,122
